"","game_id","names","min_players","max_players","avg_time","min_time","max_time","year","geek_rating","num_votes","age","mechanic","owned","category1","category2","category3","category4","category5","category6","category7","category8","category9","category10","category11","category12","designer"
"23",80771,"Dungeon Raiders",3,5,60,20,60,2011,6.13961,1443,8,"Take That",2191,"Adventure"," Bluffing"," Card Game"," Exploration"," Fantasy"," Fighting",NA,NA,NA,NA,NA,NA,"Phil Walker-Harding"
"24",80771,"Dungeon Raiders",3,5,60,20,60,2011,6.13961,1443,8,"Variable Player Powers",2191,"Adventure"," Bluffing"," Card Game"," Exploration"," Fantasy"," Fighting",NA,NA,NA,NA,NA,NA,"Phil Walker-Harding"
"25",154086,"Gold West",2,4,60,45,60,2015,6.64263,1539,13,"Area Control / Area Influence",1922,"American West"," Economic"," Territory Building",NA,NA,NA,NA,NA,NA,NA,NA,NA,"J. Alex Kevern"
"26",154086,"Gold West",2,4,60,45,60,2015,6.64263,1539,13,"Modular Board",1922,"American West"," Economic"," Territory Building",NA,NA,NA,NA,NA,NA,NA,NA,NA,"J. Alex Kevern"
"27",154086,"Gold West",2,4,60,45,60,2015,6.64263,1539,13,"Route/Network Building",1922,"American West"," Economic"," Territory Building",NA,NA,NA,NA,NA,NA,NA,NA,NA,"J. Alex Kevern"
"28",154086,"Gold West",2,4,60,45,60,2015,6.64263,1539,13,"Set Collection",1922,"American West"," Economic"," Territory Building",NA,NA,NA,NA,NA,NA,NA,NA,NA,"J. Alex Kevern"
"29",72132,"Dragon Rampage",3,5,120,90,120,2012,5.79141,486,13,"Area Control / Area Influence",881,"Dice"," Fantasy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Richard Launius"
"30",72132,"Dragon Rampage",3,5,120,90,120,2012,5.79141,486,13,"Card Drafting",881,"Dice"," Fantasy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Richard Launius"
"31",72132,"Dragon Rampage",3,5,120,90,120,2012,5.79141,486,13,"Dice Rolling",881,"Dice"," Fantasy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Richard Launius"
"32",72132,"Dragon Rampage",3,5,120,90,120,2012,5.79141,486,13,"Variable Player Powers",881,"Dice"," Fantasy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Richard Launius"
"33",166857,"Antike II",3,6,120,90,120,2014,6.3914,893,13,"Area Control / Area Influence",1462,"Ancient"," Civilization"," Fighting"," Nautical"," Territory Building",NA,NA,NA,NA,NA,NA,NA,"Mac Gerdts"
"34",166857,"Antike II",3,6,120,90,120,2014,6.3914,893,13,"Area Movement",1462,"Ancient"," Civilization"," Fighting"," Nautical"," Territory Building",NA,NA,NA,NA,NA,NA,NA,"Mac Gerdts"
"35",120669,"No Retreat! The North African Front",2,2,180,180,180,2013,5.84812,253,12,"Hex-and-Counter",1102,"Wargame"," World War II",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Carl Paradis"
"36",144761,"Going, Going, GONE!",2,6,20,20,20,2013,5.86847,1120,8,"Auction/Bidding",1626,"Action / Dexterity"," Party Game"," Real-time",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Scott Nicholson"
"37",144761,"Going, Going, GONE!",2,6,20,20,20,2013,5.86847,1120,8,"Set Collection",1626,"Action / Dexterity"," Party Game"," Real-time",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Scott Nicholson"
"38",129556,"Tapple",2,10,30,30,30,2012,5.84428,705,8,"Player Elimination",1405,"Card Game"," Electronic"," Party Game"," Real-time"," Word Game",NA,NA,NA,NA,NA,NA,NA,"(Uncredited)"
"39",21704,"Fiji",2,5,30,30,30,2006,5.65616,857,10,"Auction/Bidding",1143,"Humor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Friedemann Friese"
"40",21704,"Fiji",2,5,30,30,30,2006,5.65616,857,10,"Set Collection",1143,"Humor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Friedemann Friese"
"41",147021,"Hollywood",2,6,30,30,30,2013,5.79029,449,13,"Auction/Bidding",648,"Card Game"," Industry / Manufacturing"," Movies / TV / Radio theme",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nikolay Pegasov"
"42",147021,"Hollywood",2,6,30,30,30,2013,5.79029,449,13,"Card Drafting",648,"Card Game"," Industry / Manufacturing"," Movies / TV / Radio theme",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nikolay Pegasov"
"43",147021,"Hollywood",2,6,30,30,30,2013,5.79029,449,13,"Set Collection",648,"Card Game"," Industry / Manufacturing"," Movies / TV / Radio theme",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nikolay Pegasov"
"44",10947,"Master Thieves",2,8,60,60,60,2004,5.88799,699,10,"Memory",712,"Deduction"," Memory"," Party Game",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Czarnè"
"45",10947,"Master Thieves",2,8,60,60,60,2004,5.88799,699,10,"Simultaneous Action Selection",712,"Deduction"," Memory"," Party Game",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Czarnè"
"46",10947,"Master Thieves",2,8,60,60,60,2004,5.88799,699,10,"Variable Player Powers",712,"Deduction"," Memory"," Party Game",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Czarnè"
"47",178570,"Unusual Suspects",3,18,30,10,30,2015,6.11659,1612,13,"Co-operative Play",2360,"Card Game"," Deduction"," Murder/Mystery"," Party Game",NA,NA,NA,NA,NA,NA,NA,NA,"Paolo Mori"
"48",178570,"Unusual Suspects",3,18,30,10,30,2015,6.11659,1612,13,"Partnerships",2360,"Card Game"," Deduction"," Murder/Mystery"," Party Game",NA,NA,NA,NA,NA,NA,NA,NA,"Paolo Mori"
"49",178570,"Unusual Suspects",3,18,30,10,30,2015,6.11659,1612,13,"Voting",2360,"Card Game"," Deduction"," Murder/Mystery"," Party Game",NA,NA,NA,NA,NA,NA,NA,NA,"Paolo Mori"
"50",38471,"Corps Command: Dawn's Early Light",2,2,240,120,240,2010,5.68621,133,12,"Chit-Pull System",319,"Modern Warfare"," Wargame",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Peter Bogdasarian"
"51",38471,"Corps Command: Dawn's Early Light",2,2,240,120,240,2010,5.68621,133,12,"Dice Rolling",319,"Modern Warfare"," Wargame",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Peter Bogdasarian"
"52",38471,"Corps Command: Dawn's Early Light",2,2,240,120,240,2010,5.68621,133,12,"Hex-and-Counter",319,"Modern Warfare"," Wargame",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Peter Bogdasarian"
"53",207951,"Tintas",2,2,20,15,20,2016,5.65464,78,8,"none",106,"Abstract Strategy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dieter Stein"
"54",179803,"Arcadia Quest: Inferno",2,4,120,60,120,2017,6.84138,1166,13,"Dice Rolling",4626,"Adventure"," Fantasy"," Fighting"," Miniatures",NA,NA,NA,NA,NA,NA,NA,NA,"Thiago Aranha, Guilherme Goulart, Eric M. Lang, Fred Perret"
"55",179803,"Arcadia Quest: Inferno",2,4,120,60,120,2017,6.84138,1166,13,"Grid Movement",4626,"Adventure"," Fantasy"," Fighting"," Miniatures",NA,NA,NA,NA,NA,NA,NA,NA,"Thiago Aranha, Guilherme Goulart, Eric M. Lang, Fred Perret"
"56",179803,"Arcadia Quest: Inferno",2,4,120,60,120,2017,6.84138,1166,13,"Modular Board",4626,"Adventure"," Fantasy"," Fighting"," Miniatures",NA,NA,NA,NA,NA,NA,NA,NA,"Thiago Aranha, Guilherme Goulart, Eric M. Lang, Fred Perret"
"57",179803,"Arcadia Quest: Inferno",2,4,120,60,120,2017,6.84138,1166,13,"Variable Player Powers",4626,"Adventure"," Fantasy"," Fighting"," Miniatures",NA,NA,NA,NA,NA,NA,NA,NA,"Thiago Aranha, Guilherme Goulart, Eric M. Lang, Fred Perret"
"58",172931,"Outfoxed!",2,4,15,15,15,2014,6.24107,855,5,"Co-operative Play",1869,"Children's Game"," Deduction"," Dice",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shanon Lyon, Marisa Pena"
"59",172931,"Outfoxed!",2,4,15,15,15,2014,6.24107,855,5,"Dice Rolling",1869,"Children's Game"," Deduction"," Dice",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shanon Lyon, Marisa Pena"
"60",172931,"Outfoxed!",2,4,15,15,15,2014,6.24107,855,5,"Memory",1869,"Children's Game"," Deduction"," Dice",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shanon Lyon, Marisa Pena"
"61",191597,"Dale of Merchants 2",2,4,40,20,40,2016,6.21078,677,10,"Card Drafting",1837,"Animals"," Card Game"," Fantasy"," Print & Play",NA,NA,NA,NA,NA,NA,NA,NA,"Sami Laakso"
"62",191597,"Dale of Merchants 2",2,4,40,20,40,2016,6.21078,677,10,"Deck / Pool Building",1837,"Animals"," Card Game"," Fantasy"," Print & Play",NA,NA,NA,NA,NA,NA,NA,NA,"Sami Laakso"
"63",191597,"Dale of Merchants 2",2,4,40,20,40,2016,6.21078,677,10,"Dice Rolling",1837,"Animals"," Card Game"," Fantasy"," Print & Play",NA,NA,NA,NA,NA,NA,NA,NA,"Sami Laakso"
"64",191597,"Dale of Merchants 2",2,4,40,20,40,2016,6.21078,677,10,"Hand Management",1837,"Animals"," Card Game"," Fantasy"," Print & Play",NA,NA,NA,NA,NA,NA,NA,NA,"Sami Laakso"
"65",191597,"Dale of Merchants 2",2,4,40,20,40,2016,6.21078,677,10,"Set Collection",1837,"Animals"," Card Game"," Fantasy"," Print & Play",NA,NA,NA,NA,NA,NA,NA,NA,"Sami Laakso"
"66",191597,"Dale of Merchants 2",2,4,40,20,40,2016,6.21078,677,10,"Take That",1837,"Animals"," Card Game"," Fantasy"," Print & Play",NA,NA,NA,NA,NA,NA,NA,NA,"Sami Laakso"
"67",20646,"1824: Austria-Hungary",3,6,300,300,300,2005,5.73098,123,14,"Auction/Bidding",155,"Economic"," Trains",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Helmut Ohley, Leonhard ""Lonny"" Orgler"
"68",20646,"1824: Austria-Hungary",3,6,300,300,300,2005,5.73098,123,14,"Route/Network Building",155,"Economic"," Trains",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Helmut Ohley, Leonhard ""Lonny"" Orgler"
"69",20646,"1824: Austria-Hungary",3,6,300,300,300,2005,5.73098,123,14,"Stock Holding",155,"Economic"," Trains",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Helmut Ohley, Leonhard ""Lonny"" Orgler"
"70",20646,"1824: Austria-Hungary",3,6,300,300,300,2005,5.73098,123,14,"Tile Placement",155,"Economic"," Trains",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Helmut Ohley, Leonhard ""Lonny"" Orgler"
"71",93724,"Black Gold",2,5,120,120,120,2011,6.14247,973,13,"Auction/Bidding",2107,"Bluffing"," Economic"," Exploration",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wilko Manz, Steven Kimball"
"72",93724,"Black Gold",2,5,120,120,120,2011,6.14247,973,13,"Commodity Speculation",2107,"Bluffing"," Economic"," Exploration",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wilko Manz, Steven Kimball"
"73",128137,"Damage Report",2,6,45,45,45,2014,5.67731,247,10,"Co-operative Play",589,"Real-time"," Science Fiction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alex Barbieri"
"74",128137,"Damage Report",2,6,45,45,45,2014,5.67731,247,10,"Modular Board",589,"Real-time"," Science Fiction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alex Barbieri"
"75",128137,"Damage Report",2,6,45,45,45,2014,5.67731,247,10,"Pick-up and Deliver",589,"Real-time"," Science Fiction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alex Barbieri"
"76",128137,"Damage Report",2,6,45,45,45,2014,5.67731,247,10,"Simultaneous Action Selection",589,"Real-time"," Science Fiction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alex Barbieri"
"77",128137,"Damage Report",2,6,45,45,45,2014,5.67731,247,10,"Variable Player Powers",589,"Real-time"," Science Fiction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alex Barbieri"
"78",98242,"Star Trek Deck Building Game: The Next Generation",2,5,60,60,60,2011,5.94477,1081,13,"Card Drafting",2133,"Adventure"," Card Game"," Exploration"," Movies / TV / Radio theme"," Science Fiction"," Space Exploration",NA,NA,NA,NA,NA,NA,"Alex Bykov"
"79",98242,"Star Trek Deck Building Game: The Next Generation",2,5,60,60,60,2011,5.94477,1081,13,"Co-operative Play",2133,"Adventure"," Card Game"," Exploration"," Movies / TV / Radio theme"," Science Fiction"," Space Exploration",NA,NA,NA,NA,NA,NA,"Alex Bykov"
"80",98242,"Star Trek Deck Building Game: The Next Generation",2,5,60,60,60,2011,5.94477,1081,13,"Deck / Pool Building",2133,"Adventure"," Card Game"," Exploration"," Movies / TV / Radio theme"," Science Fiction"," Space Exploration",NA,NA,NA,NA,NA,NA,"Alex Bykov"
"81",98242,"Star Trek Deck Building Game: The Next Generation",2,5,60,60,60,2011,5.94477,1081,13,"Partnerships",2133,"Adventure"," Card Game"," Exploration"," Movies / TV / Radio theme"," Science Fiction"," Space Exploration",NA,NA,NA,NA,NA,NA,"Alex Bykov"
"82",91010,"Phantom Fury",1,1,240,240,240,2011,5.6747,109,12,"Area Movement",388,"Modern Warfare"," Wargame",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Laurent Closier"
"83",91010,"Phantom Fury",1,1,240,240,240,2011,5.6747,109,12,"Chit-Pull System",388,"Modern Warfare"," Wargame",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Laurent Closier"
"84",91010,"Phantom Fury",1,1,240,240,240,2011,5.6747,109,12,"Dice Rolling",388,"Modern Warfare"," Wargame",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Laurent Closier"
"85",176435,"Thrash'n Roll",2,4,90,45,90,2015,5.72594,253,12,"Dice Rolling",481,"Card Game"," Music",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aleksander Biela, Krzysztof Matusik"
"86",176435,"Thrash'n Roll",2,4,90,45,90,2015,5.72594,253,12,"Set Collection",481,"Card Game"," Music",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aleksander Biela, Krzysztof Matusik"
"87",176435,"Thrash'n Roll",2,4,90,45,90,2015,5.72594,253,12,"Simulation",481,"Card Game"," Music",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aleksander Biela, Krzysztof Matusik"
"88",176435,"Thrash'n Roll",2,4,90,45,90,2015,5.72594,253,12,"Worker Placement",481,"Card Game"," Music",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aleksander Biela, Krzysztof Matusik"
"89",225244,"Ticket to Ride: Germany",2,5,60,30,60,2017,6.02752,365,8,"Hand Management",929,"Trains"," Travel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alan R. Moon"
"90",225244,"Ticket to Ride: Germany",2,5,60,30,60,2017,6.02752,365,8,"Route/Network Building",929,"Trains"," Travel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alan R. Moon"
"91",225244,"Ticket to Ride: Germany",2,5,60,30,60,2017,6.02752,365,8,"Set Collection",929,"Trains"," Travel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alan R. Moon"
"92",144789,"The Sheep Race",2,6,45,45,45,2013,5.64394,190,10,"Betting/Wagering",247,"Animals"," Dice"," Miniatures"," Racing"," Sports",NA,NA,NA,NA,NA,NA,NA,"Roberto Mancino"
"93",144789,"The Sheep Race",2,6,45,45,45,2013,5.64394,190,10,"Dice Rolling",247,"Animals"," Dice"," Miniatures"," Racing"," Sports",NA,NA,NA,NA,NA,NA,NA,"Roberto Mancino"
"94",144789,"The Sheep Race",2,6,45,45,45,2013,5.64394,190,10,"Grid Movement",247,"Animals"," Dice"," Miniatures"," Racing"," Sports",NA,NA,NA,NA,NA,NA,NA,"Roberto Mancino"
"95",21414,"To The Last Man!",2,3,120,120,120,2009,5.75814,155,12,"Area Movement",433,"Bluffing"," Wargame"," World War I",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tim Taylor"
"96",21414,"To The Last Man!",2,3,120,120,120,2009,5.75814,155,12,"Campaign / Battle Card Driven",433,"Bluffing"," Wargame"," World War I",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tim Taylor"
"97",21414,"To The Last Man!",2,3,120,120,120,2009,5.75814,155,12,"Dice Rolling",433,"Bluffing"," Wargame"," World War I",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tim Taylor"
"98",21414,"To The Last Man!",2,3,120,120,120,2009,5.75814,155,12,"Hand Management",433,"Bluffing"," Wargame"," World War I",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tim Taylor"
"99",21414,"To The Last Man!",2,3,120,120,120,2009,5.75814,155,12,"Secret Unit Deployment",433,"Bluffing"," Wargame"," World War I",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tim Taylor"
"100",21414,"To The Last Man!",2,3,120,120,120,2009,5.75814,155,12,"Simulation",433,"Bluffing"," Wargame"," World War I",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tim Taylor"
"101",27802,"Anno 1701: Das Kartenspiel",2,2,60,60,60,2007,5.65336,251,10,"Dice Rolling",576,"Age of Reason"," Card Game"," City Building"," Exploration",NA,NA,NA,NA,NA,NA,NA,NA,"Klaus Teuber"
"102",27802,"Anno 1701: Das Kartenspiel",2,2,60,60,60,2007,5.65336,251,10,"Modular Board",576,"Age of Reason"," Card Game"," City Building"," Exploration",NA,NA,NA,NA,NA,NA,NA,NA,"Klaus Teuber"
"103",27802,"Anno 1701: Das Kartenspiel",2,2,60,60,60,2007,5.65336,251,10,"Trading",576,"Age of Reason"," Card Game"," City Building"," Exploration",NA,NA,NA,NA,NA,NA,NA,NA,"Klaus Teuber"
"104",83040,"Leader 1: Hell of the North",2,10,45,45,45,2011,6.0559,395,14,"Modular Board",747,"Racing"," Sports",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Christophe Leclercq, Alain Ollier"
"105",83040,"Leader 1: Hell of the North",2,10,45,45,45,2011,6.0559,395,14,"Simulation",747,"Racing"," Sports",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Christophe Leclercq, Alain Ollier"
"106",162591,"Heroes",2,4,30,20,30,2015,5.67276,293,12,"Card Drafting",524,"Card Game"," Dice"," Fantasy"," Fighting"," Real-time",NA,NA,NA,NA,NA,NA,NA,"Adam Kwapiński"
"107",162591,"Heroes",2,4,30,20,30,2015,5.67276,293,12,"Deck / Pool Building",524,"Card Game"," Dice"," Fantasy"," Fighting"," Real-time",NA,NA,NA,NA,NA,NA,NA,"Adam Kwapiński"
"108",162591,"Heroes",2,4,30,20,30,2015,5.67276,293,12,"Dice Rolling",524,"Card Game"," Dice"," Fantasy"," Fighting"," Real-time",NA,NA,NA,NA,NA,NA,NA,"Adam Kwapiński"
"109",162591,"Heroes",2,4,30,20,30,2015,5.67276,293,12,"Grid Movement",524,"Card Game"," Dice"," Fantasy"," Fighting"," Real-time",NA,NA,NA,NA,NA,NA,NA,"Adam Kwapiński"
"110",162591,"Heroes",2,4,30,20,30,2015,5.67276,293,12,"Hand Management",524,"Card Game"," Dice"," Fantasy"," Fighting"," Real-time",NA,NA,NA,NA,NA,NA,NA,"Adam Kwapiński"
"111",162591,"Heroes",2,4,30,20,30,2015,5.67276,293,12,"Partnerships",524,"Card Game"," Dice"," Fantasy"," Fighting"," Real-time",NA,NA,NA,NA,NA,NA,NA,"Adam Kwapiński"
"112",162591,"Heroes",2,4,30,20,30,2015,5.67276,293,12,"Player Elimination",524,"Card Game"," Dice"," Fantasy"," Fighting"," Real-time",NA,NA,NA,NA,NA,NA,NA,"Adam Kwapiński"
"113",162591,"Heroes",2,4,30,20,30,2015,5.67276,293,12,"Variable Player Powers",524,"Card Game"," Dice"," Fantasy"," Fighting"," Real-time",NA,NA,NA,NA,NA,NA,NA,"Adam Kwapiński"
"114",129204,"Blocks in the East",1,4,120,120,120,2012,5.69358,138,14,"Dice Rolling",368,"Wargame"," World War II",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Emanuele Santandrea"
"115",129204,"Blocks in the East",1,4,120,120,120,2012,5.69358,138,14,"Hex-and-Counter",368,"Wargame"," World War II",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Emanuele Santandrea"
"116",129204,"Blocks in the East",1,4,120,120,120,2012,5.69358,138,14,"Simulation",368,"Wargame"," World War II",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Emanuele Santandrea"
"117",85108,"U-Boat Leader",1,1,90,90,90,2011,5.72575,250,12,"Card Drafting",783,"Nautical"," Wargame"," World War II",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dave Schueler"
"118",85108,"U-Boat Leader",1,1,90,90,90,2011,5.72575,250,12,"Dice Rolling",783,"Nautical"," Wargame"," World War II",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dave Schueler"
"119",85108,"U-Boat Leader",1,1,90,90,90,2011,5.72575,250,12,"Simulation",783,"Nautical"," Wargame"," World War II",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dave Schueler"
"120",109764,"Quarantine",2,4,60,60,60,2013,5.77998,828,13,"Action Point Allowance System",1299,"Medical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mark Klassen"
"121",109764,"Quarantine",2,4,60,60,60,2013,5.77998,828,13,"Tile Placement",1299,"Medical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mark Klassen"
"122",181797,"Inhabit the Earth",2,4,90,60,90,2015,6.20158,896,14,"Action / Movement Programming",1435,"Animals"," Environmental",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Richard Breese"
"123",181797,"Inhabit the Earth",2,4,90,60,90,2015,6.20158,896,14,"Area Movement",1435,"Animals"," Environmental",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Richard Breese"
"124",181797,"Inhabit the Earth",2,4,90,60,90,2015,6.20158,896,14,"Card Drafting",1435,"Animals"," Environmental",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Richard Breese"
"125",181797,"Inhabit the Earth",2,4,90,60,90,2015,6.20158,896,14,"Hand Management",1435,"Animals"," Environmental",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Richard Breese"
"126",181797,"Inhabit the Earth",2,4,90,60,90,2015,6.20158,896,14,"Modular Board",1435,"Animals"," Environmental",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Richard Breese"
"127",181797,"Inhabit the Earth",2,4,90,60,90,2015,6.20158,896,14,"Point to Point Movement",1435,"Animals"," Environmental",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Richard Breese"
